Router1,Router2,Cost,Capacity
CHANDIGARH-GSMPE-07,CHANDIGARH-PP-04,0.4073,100
CHANDIGARH-GSMPE-08,CHANDIGARH-PP-03,0.1477,100
CHANDIGARH-GSMPE-08,CHANDIGARH-PP-04,0.0566,100
CHANDIGARH-GSMPE-09,CHANDIGARH-PP-03,0.002,20
CHANDIGARH-GSMPE-09,CHANDIGARH-PP-04,0.079,20
CHANDIGARH-MCR-01,CHANDIGARH-PP-03,0.447,10
CHANDIGARH-MCR-01,CHANDIGARH-PP-04,0.3035,20
CHANDIGARH-PE-01,CHANDIGARH-PP-03,0,10
CHANDIGARH-PE-02,AMBALA-PP-01,0.017,10
CHANDIGARH-PE-02,CHANDIGARH-PP-03,0.032,30
CHANDIGARH-PE-02,CHANDIGARH-PP-04,0.079,20
CHANDIGARH-PE-03,AMBALA-PP-01,0.006,10
CHANDIGARH-PE-03,CHANDIGARH-PP-03,0.0515,20
CHANDIGARH-PE-03,CHANDIGARH-PP-04,0.014,10
CHANDIGARH-PE-05,CHANDIGARH-PP-03,0.27595,200
CHANDIGARH-PE-05,CHANDIGARH-PP-04,0,10
CHANDIGARH-PE-06,CHANDIGARH-PP-03,0.2168,100
CHANDIGARH-PE-06,CHANDIGARH-PP-04,0,10
CHANDIGARH-PP-02,CHANDIGARH-PP-04,0.0504,50
CHANDIGARH-PP-03,CHANDIGARH-PP-04,0.256,210
CHANDIGARH-PP-03,DEHRADUN-PP-02,0.037,20
CHANDIGARH-PP-03,JALANDHAR-PP-02,0.431333333,30
CHANDIGARH-PP-03,JAMMU-PP-01,0.7165,20
CHANDIGARH-PP-03,LUCKNOW-PP-03,0.7835,20
CHANDIGARH-PP-03,MUMBAI-PP-05,0.88,20
CHANDIGARH-PP-03,NEWDELHI-PP-03,0.589727273,220
CHANDIGARH-PP-03,NEWDELHI-PP-04,0.292,20
CHANDIGARH-PP-03,SHIMLA-PP-01,0.6985,20
CHANDIGARH-PP-04,GURGAON-PP-01,0.8145,20
CHANDIGARH-PP-04,JALANDHAR-PP-02,0.382666667,30
CHANDIGARH-PP-04,JAMMU-PP-01,0.1195,20
CHANDIGARH-PP-04,LUCKNOW-PP-04,0.025,20
CHANDIGARH-PP-04,NEWDELHI-PP-04,0.444424242,330
CHANDIGARH-PP-04,SHIMLA-PP-01,0.190333333,30
