S.NO    City_Id     City_Name             Degree    Adjacent_Vertices                                           
256     256         GARHWAL-PE-01         2         204 461                                                     
257     257         GAYA-MCR-01           2         553 593                                                     
258     258         GAYA-PE-01            2         553 593                                                     
259     259         GAYA-PE-02            2         553 593                                                     
260     260         GHAZIABAD-PE-02       3         461 525 532                                                 
261     261         GHAZIABAD-PE-03       2         461 526                                                     
262     262         GODHRA-PE-01          3         20 322 645                                                  
263     263         GORAKHPUR-PE-02       2         265 689                                                     
264     264         GORAKHPUR-PE-03       2         265 689                                                     
265     265         GORAKHPUR-PP-01       11        54 88 156 248 249 263 264 437 438 553 689                   
266     266         GULBARGA-PE-01        3         301 317 425                                                 
267     267         GULBARGA-PE-02        2         301 425                                                     
268     268         GUNA-PE-01            2         322 359                                                     
269     269         GUNTUR-PE-02          3         184 317 697                                                 
270     270         GURGAON-MCR-01        1         274                                                         
271     271         GURGAON-PE-01         1         274                                                         
272     272         GURGAON-PE-02         3         274 526 532                                                 
273     273         GURGAON-PE-03         3         274 525 526                                                 
274     274         GURGAON-PP-01         16        102 153 251 270 271 272 273 363 515 523 524 529 532 596 598 628
275     275         GURGAON-PP-02         1         517                                                         
276     276         GUWAHATI-GSMPE-01     2         281 633                                                     
277     277         GUWAHATI-GSMPE-02     2         281 633                                                     
278     278         GUWAHATI-PE-03        2         281 633                                                     
279     279         GUWAHATI-PE-04        2         281 633                                                     
280     280         GUWAHATI-PE-05        2         281 633                                                     
281     281         GUWAHATI-PP-02        33        2 3 23 130 131 182 217 218 219 220 276 277 278 279 280 282 318 319 323 324 364 365 410 411 489 553 619 620 629 630 633 648 649
282     282         GUWAHATI-VRR-01       1         281                                                         
283     283         GWALIOR-MCR-01        4         7 112 322 359                                               
284     284         GWALIOR-PE-02(GUNA)   1         112                                                         
285     285         GWALIOR-PE-03         4         7 112 328 359                                               
286     286         HALDWANI-PE-01        1         153                                                         
287     287         HALDWANI-PE-02        3         204 461 526                                                 
288     288         HALDWANI-PE-03        4         204 438 461 526                                             
289     289         HAMIRPUR-PE-01        2         346 625                                                     
290     290         HAMIRPUR-PE-02        3         153 346 625                                                 
291     291         HARIDWAR-PE-01        2         204 461                                                     
292     292         HARIDWAR-PE-02        4         152 204 461 532                                             
293     293         HASSAN-PE-01          2         83 449                                                      
294     294         HAZARIBAGH-PE-01      4         98 412 553 593                                              
295     295         HISAR-PE-01           2         42 102                                                      
296     296         HISAR-PE-02           4         42 102 153 526                                              
297     297         HOSHANGABAD-PE-01     1         112                                                         
298     298         HOSHIARPUR-PE-01      3         152 153 346                                                 
